time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
3571,91,22.75,11.7314175,0,4,,,,,,
175,153,19.125,9.34865275,0,8,53,0.08002465839187305,0.001,-0.6330486387014389,,
174,189,15.75,6.093430583333333,1,12,89,0.11334205998314752,0.001,-0.5642783492803574,,
172,225,14.0625,4.4191255625,1,16,125,0.05224682059552935,0.001,-0.5078804418444633,,
171,261,13.05,3.434457899999999,1,20,161,0.0328375750945674,0.001,-0.37343717366456985,,
175,315,13.125,2.6062819999999998,1,24,206,0.022724162485888776,0.001,-0.5014286438624064,,
174,385,13.75,1.9223682857142854,2,28,276,0.012707536962504188,0.001,-0.41268042888906264,,
173,471,14.71875,5.194255968749999,2,32,358,0.09866588240997358,0.001,-0.628652502189983,,
171,559,15.527777777777779,8.789203583333334,3,36,446,0.14389903538606383,0.001,-1.1599767424843528,,
169,648,16.2,11.687535225,3,40,536,0.1828968482820884,0.001,-1.8742014865080516,,
169,736,16.727272727272727,14.038698909090908,4,44,623,0.21724006161093712,0.001,-2.1020223552530464,,
168,826,17.208333333333332,16.044586479166668,4,48,713,0.20785227774277978,0.001,-2.6194093227386475,,
168,915,17.596153846153847,17.716414903846154,5,52,801,0.21836793016303668,0.001,-2.915463837710294,,
168,1005,17.946428571428573,19.178124196428573,5,56,892,0.17701181159778076,0.001,-3.312618450684981,,
169,1093,18.216666666666665,20.40270006666667,6,60,979,0.29334284500642255,0.001,-3.723400896245783,,
169,1183,18.484375,21.52212715625,6,64,1071,0.25553429968979047,0.001,-4.019083348187533,,
170,1272,18.705882352941178,22.473771794117653,7,68,1159,0.231390466066924,0.001,-4.506836197592995,,
171,1360,18.88888888888889,23.308052736111108,7,72,1247,0.2101496517319571,0.001,-4.821789914911443,,
172,1448,19.05263157894737,24.05334069736842,8,76,1334,0.20260494744235819,0.001,-5.183215488087047,,
172,1538,19.225,24.757496562500002,8,80,1425,0.2491751258140025,0.001,-5.482724536548961,,
172,1627,19.36904761904762,25.375604488095238,9,84,1514,0.2910369430547175,0.001,-5.70551065603892,,
172,1716,19.5,25.95271018181818,9,88,1603,0.2130706530403007,0.001,-6.192997802387584,,
171,1803,19.597826086956523,26.44015283695652,10,92,1690,0.2193387509101913,0.001,-6.41556978225708,,
171,1891,19.697916666666668,26.906188010416667,11,96,1777,0.29484715844903675,0.001,-6.415441703796387,,
170,1979,19.79,27.335270399999995,11,100,1866,0.2594384275700735,0.001,-7.15327525138855,,
169,2067,19.76,28.366126769999997,12,104,1954,0.25622013719244435,0.001,-7.34841775894165,,
168,2155,20.02,29.585597399999997,12,108,2042,0.3490044433962215,0.001,-7.559200633655895,,
168,2243,20.54,31.106277719999998,13,112,2129,0.3919419539826257,0.001,-8.118027448654175,,
