time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
219,-10.914758682250977,0.0003,-0.47427308559417725,2.06032395362854,149,4,0.9654697775840759,-35.10202375,118,54.75,1,,
503,-14.465202331542969,0.0003,-1.6153351068496704,1.18107271194458,107,8,0.8867682218551636,-25.192927,402,62.875,4,,
954,-20.23348045349121,0.0003,-3.3813652992248535,3.384889602661133,97,12,0.7749360203742981,-39.210936,853,79.5,9,,
2987,-30.759742736816406,0.0003,-10.184444427490234,1.6891872882843018,89,16,0.4279794692993164,-103.143177375,2886,186.6875,33,,
3180,-31.131488800048828,0.0003,-10.781604766845703,4.909387588500977,89,20,0.4046498239040375,-89.95143644999999,3079,159.0,35,,
4309,-32.82138442993164,0.0003,-13.575843811035156,2.7570199966430664,87,24,0.2925514578819275,-102.66474649999999,4208,179.54166666666666,49,,
5000,-32.16725540161133,0.0003,-15.369951248168945,2.7894785404205322,,,0.24042962491512299,,4899,,,117.21817610912112,667.8
5459,-32.75342559814453,0.0003,-16.316930770874023,2.6038928031921387,74,28,0.211208775639534,-114.27087585714287,5358,194.96428571428572,73,,
5633,-31.47918701171875,0.0003,-16.663965225219727,3.006082057952881,74,32,0.20116598904132843,-104.31076056250001,5532,176.03125,75,,
6350,-30.33261489868164,0.0003,-17.475244522094727,2.667522668838501,76,36,0.16430062055587769,-108.5342525277778,6249,176.38888888888889,83,,
7524,-27.27421760559082,0.0003,-18.27865982055664,2.775719165802002,77,40,0.11875157058238983,-115.883609,7423,188.1,97,,
9123,-23.31527328491211,0.0003,-19.408161163330078,1.5735981464385986,78,44,0.07656170427799225,-125.68009427272727,9022,207.3409090909091,115,,
10000,-20.514358520507812,0.0003,-20.812480926513672,1.9423117637634277,,,0.060235995799303055,,9899,,,-11.373142742358322,293.4
